"Parameter","Rhat","nRows"
"Cov[8, 17]",1.11113903920655,372
"Cov[9, 1]",1.04136820864468,372
"Cov[9, 2]",1.01650382993171,372
"Cov[9, 3]",1.02944141227049,372
"Cov[9, 4]",1.03265517898072,372
"Cov[9, 5]",1.04732291635647,372
"Cov[9, 6]",1.02355412134865,372
"Cov[9, 7]",1.06924218328197,372
"Cov[9, 8]",1.08776380975562,372
"Cov[9, 9]",1.06443599460761,372
"Cov[9, 10]",1.00854717255044,372
"Cov[9, 11]",1.02089020650166,372
"Cov[9, 12]",1.03967948749711,372
"Cov[9, 13]",1.00582822382255,372
"Cov[9, 14]",1.03378485546807,372
"Cov[9, 15]",1.04278881777239,372
"Cov[9, 16]",1.03053242971792,372
"Cov[9, 17]",1.0228035862396,372
"Cov[10, 1]",1.01925230265988,372
"Cov[10, 2]",1.01351563044034,372
"Cov[10, 3]",1.0146123162315,372
"Cov[10, 4]",1.00199556722811,372
"Cov[10, 5]",1.00366873188831,372
"Cov[10, 6]",1.04333752892636,372
"Cov[10, 7]",1.03313537603108,372
"Cov[10, 8]",1.02911672527737,372
"Cov[10, 9]",1.00854717255044,372
"Cov[10, 10]",1.05245687228983,372
"Cov[10, 11]",1.07350624157789,372
"Cov[10, 12]",1.05026936161068,372
"Cov[10, 13]",1.00752934958919,372
"Cov[10, 14]",1.03877559994977,372
"Cov[10, 15]",1.00187395641576,372
"Cov[10, 16]",1.00947487669331,372
"Cov[10, 17]",1.0089027952634,372
"Cov[11, 1]",1.0172227042188,372
"Cov[11, 2]",1.05370943784462,372
"Cov[11, 3]",1.02820742147085,372
"Cov[11, 4]",1.02053957320382,372
"Cov[11, 5]",1.0032537375377,372
"Cov[11, 6]",0.999949311062863,372
"Cov[11, 7]",1.12890271761922,372
"Cov[11, 8]",1.05509458699622,372
"Cov[11, 9]",1.02089020650166,372
"Cov[11, 10]",1.07350624157789,372
"Cov[11, 11]",1.00309708501404,372
"Cov[11, 12]",1.03418988887955,372
"Cov[11, 13]",1.00236375384348,372
"Cov[11, 14]",1.03354273777779,372
"Cov[11, 15]",1.02662899978092,372
"Cov[11, 16]",1.02303383224018,372
"Cov[11, 17]",1.00397875075361,372
"Cov[12, 1]",1.01501229250828,372
"Cov[12, 2]",1.00887676660598,372
"Cov[12, 3]",1.02899716731021,372
"Cov[12, 4]",1.01319176297363,372
"Cov[12, 5]",1.01862315965588,372
"Cov[12, 6]",1.05368703621579,372
"Cov[12, 7]",1.15584404706548,372
"Cov[12, 8]",1.05337568271695,372
"Cov[12, 9]",1.03967948749711,372
"Cov[12, 10]",1.05026936161068,372
"Cov[12, 11]",1.03418988887955,372
"Cov[12, 12]",1.00854476133236,372
"Cov[12, 13]",1.09402373211373,372
"Cov[12, 14]",1.04065688689524,372
"Cov[12, 15]",1.13594622525176,372
"Cov[12, 16]",1.01564850199893,372
"Cov[12, 17]",1.07016705158715,372
"Cov[13, 1]",1.07014676278736,372
"Cov[13, 2]",1.01163804077984,372
"Cov[13, 3]",1.03971432950015,372
"Cov[13, 4]",1.1994907876243,372
"Cov[13, 5]",1.01516576962709,372
"Cov[13, 6]",1.0596013020766,372
"Cov[13, 7]",1.04805624686101,372
"Cov[13, 8]",1.01139977272685,372
"Cov[13, 9]",1.00582822382255,372
"Cov[13, 10]",1.00752934958919,372
"Cov[13, 11]",1.00236375384348,372
"Cov[13, 12]",1.09402373211373,372
"Cov[13, 13]",1.01104357660613,372
"Cov[13, 14]",1.06993598170206,372
"Cov[13, 15]",1.05894377314912,372
"Cov[13, 16]",1.06554511755131,372
"Cov[13, 17]",1.09474087750367,372
"Cov[14, 1]",1.0291758702475,372
"Cov[14, 2]",1.00223899470154,372
"Cov[14, 3]",1.0349480286242,372
"Cov[14, 4]",1.00047462925984,372
"Cov[14, 5]",1.01486917064622,372
"Cov[14, 6]",1.0107665577036,372
"Cov[14, 7]",1.03898438571361,372
"Cov[14, 8]",1.01698082940054,372
"Cov[14, 9]",1.03378485546806,372
"Cov[14, 10]",1.03877559994977,372
"Cov[14, 11]",1.0335427377778,372
"Cov[14, 12]",1.04065688689524,372
"Cov[14, 13]",1.06993598170206,372
"Cov[14, 14]",1.04053205045357,372
"Cov[14, 15]",1.00955970824344,372
"Cov[14, 16]",1.002703086396,372
"Cov[14, 17]",1.03982538138647,372
"Cov[15, 1]",1.00455962821931,372
"Cov[15, 2]",1.03276718308676,372
"Cov[15, 3]",1.07075076811397,372
"Cov[15, 4]",1.15005724084203,372
"Cov[15, 5]",1.0060281910019,372
"Cov[15, 6]",1.06994517015285,372
"Cov[15, 7]",1.12490923351414,372
"Cov[15, 8]",1.13647714675202,372
"Cov[15, 9]",1.04278881777239,372
"Cov[15, 10]",1.00187395641576,372
"Cov[15, 11]",1.02662899978092,372
"Cov[15, 12]",1.13594622525176,372
"Cov[15, 13]",1.05894377314912,372
"Cov[15, 14]",1.00955970824344,372
"Cov[15, 15]",1.06975618746784,372
"Cov[15, 16]",1.04903095536673,372
"Cov[15, 17]",1.02092116157158,372
"Cov[16, 1]",1.02657465788832,372
"Cov[16, 2]",1.06800116626479,372
"Cov[16, 3]",1.00024093870447,372
"Cov[16, 4]",1.13981312387858,372
"Cov[16, 5]",1.0468567260973,372
"Cov[16, 6]",1.0298800493401,372
"Cov[16, 7]",1.03958682322697,372
"Cov[16, 8]",1.00169166039003,372
"Cov[16, 9]",1.03053242971792,372
"Cov[16, 10]",1.00947487669331,372
"Cov[16, 11]",1.02303383224018,372
"Cov[16, 12]",1.01564850199893,372
"Cov[16, 13]",1.06554511755131,372
"Cov[16, 14]",1.002703086396,372
"Cov[16, 15]",1.04903095536673,372
"Cov[16, 16]",1.05450026704226,372
"Cov[16, 17]",1.00069641319827,372
"Cov[17, 1]",1.03691314081841,372
"Cov[17, 2]",1.04017432718569,372
"Cov[17, 3]",1.02672610805804,372
"Cov[17, 4]",1.09860328629839,372
"Cov[17, 5]",1.06760781409665,372
"Cov[17, 6]",1.04088381043956,372
"Cov[17, 7]",1.10993607906774,372
"Cov[17, 8]",1.11113903920655,372
"Cov[17, 9]",1.0228035862396,372
"Cov[17, 10]",1.0089027952634,372
"Cov[17, 11]",1.00397875075361,372
"Cov[17, 12]",1.07016705158715,372
"Cov[17, 13]",1.09474087750367,372
